Type,Severity,start_time,end_time
Rain,Light,2022-06-01 17:16:36,2022-06-01 18:20:36
Rain,Light,2022-06-04 09:20:36,2022-06-04 10:20:36
Rain,Moderate,2022-06-04 10:20:36,2022-06-04 11:20:36
Rain,Light,2022-06-05 01:20:36,2022-06-05 03:45:36
Rain,Light,2022-06-05 04:20:36,2022-06-05 05:20:36
Rain,Moderate,2022-06-05 05:20:36,2022-06-05 06:20:36
Rain,Light,2022-06-05 06:20:36,2022-06-05 07:20:36
Rain,Light,2022-06-08 21:20:36,2022-06-08 22:20:36
Rain,Light,2022-06-08 23:20:36,2022-06-09 00:20:36
Rain,Light,2022-06-09 11:43:36,2022-06-09 12:20:36
Rain,Light,2022-06-09 13:56:36,2022-06-09 14:20:36
Rain,Light,2022-06-12 11:20:36,2022-06-12 12:20:36
Rain,Light,2022-06-12 13:20:36,2022-06-12 15:20:36
Rain,Light,2022-06-12 18:20:36,2022-06-12 21:20:36
Rain,Moderate,2022-06-12 21:20:36,2022-06-12 22:20:36
Rain,Light,2022-06-12 22:20:36,2022-06-12 23:20:36
Rain,Moderate,2022-06-12 23:20:36,2022-06-13 00:20:36
Rain,Light,2022-06-13 00:20:36,2022-06-13 04:20:36
Rain,Light,2022-06-13 05:20:36,2022-06-13 06:20:36
Rain,Light,2022-06-14 20:20:36,2022-06-14 22:20:36
Rain,Light,2022-06-15 11:40:36,2022-06-15 12:20:36
Rain,Light,2022-06-15 14:20:36,2022-06-15 16:20:36
Rain,Moderate,2022-06-15 16:20:36,2022-06-15 16:50:36
Rain,Light,2022-06-15 16:50:36,2022-06-15 19:01:36
Fog,Severe,2022-06-15 20:39:36,2022-06-16 00:04:36
Rain,Light,2022-06-16 00:04:36,2022-06-16 02:20:36
Fog,Severe,2022-06-16 03:20:36,2022-06-16 06:20:36
Fog,Severe,2022-06-16 07:47:36,2022-06-16 08:20:36
Fog,Severe,2022-06-16 10:20:36,2022-06-16 10:47:36
Fog,Severe,2022-06-18 04:11:36,2022-06-18 08:25:36
Rain,Light,2022-06-19 17:20:36,2022-06-19 22:20:36
Rain,Moderate,2022-06-19 22:20:36,2022-06-19 22:34:36
Rain,Light,2022-06-19 22:34:36,2022-06-19 23:20:36
Rain,Moderate,2022-06-19 23:20:36,2022-06-19 23:30:36
Rain,Light,2022-06-19 23:30:36,2022-06-20 03:20:36
Fog,Severe,2022-06-20 04:09:36,2022-06-20 05:46:36
Rain,Light,2022-06-20 06:20:36,2022-06-20 07:15:36
Rain,Light,2022-06-20 07:20:36,2022-06-20 08:20:36
Rain,Light,2022-06-20 12:16:36,2022-06-20 12:32:36
Rain,Light,2022-06-21 17:20:36,2022-06-21 18:20:36
Rain,Light,2022-06-21 20:20:36,2022-06-21 21:20:36
Rain,Light,2022-06-23 05:38:36,2022-06-23 07:20:36
Rain,Light,2022-06-23 14:20:36,2022-06-23 15:06:36
Rain,Light,2022-06-23 17:20:36,2022-06-23 19:20:36
Rain,Light,2022-06-24 12:20:36,2022-06-24 13:12:36
Rain,Light,2022-06-26 19:20:36,2022-06-26 20:20:36
Rain,Moderate,2022-06-26 20:20:36,2022-06-26 21:20:36
Rain,Light,2022-06-27 19:40:36,2022-06-27 20:08:36
Precipitation,UNK,2022-06-28 11:20:36,2022-06-28 11:32:36
Rain,Light,2022-06-28 20:20:36,2022-06-28 21:20:36
Rain,Light,2022-06-30 13:51:36,2022-06-30 13:57:36
Rain,Moderate,2022-06-30 14:09:36,2022-06-30 15:20:36
Rain,Light,2022-06-30 15:20:36,2022-06-30 17:20:36
Precipitation,UNK,2022-07-02 19:30:36,2022-07-02 20:07:36
Rain,Heavy,2022-07-02 20:07:36,2022-07-02 21:20:36
Rain,Light,2022-07-02 21:20:36,2022-07-02 23:20:36
Rain,Light,2022-07-03 01:20:36,2022-07-03 03:20:36
Rain,Light,2022-07-03 05:13:36,2022-07-03 07:20:36
Rain,Light,2022-07-10 02:20:36,2022-07-10 03:20:36
Rain,Light,2022-07-14 19:20:36,2022-07-14 20:20:36
Rain,Light,2022-07-16 02:20:36,2022-07-16 04:09:36
Rain,Light,2022-07-16 08:11:36,2022-07-16 08:20:36
Rain,Light,2022-07-16 12:15:36,2022-07-16 14:20:36
Precipitation,UNK,2022-07-17 17:41:36,2022-07-17 19:20:36
Precipitation,UNK,2022-07-18 08:45:36,2022-07-18 09:27:36
Precipitation,UNK,2022-07-18 10:02:36,2022-07-18 10:20:36
Rain,Moderate,2022-07-18 10:20:36,2022-07-18 10:38:36
Rain,Light,2022-07-18 10:38:36,2022-07-18 11:16:36
Rain,Moderate,2022-07-18 11:16:36,2022-07-18 11:20:36
Precipitation,UNK,2022-07-18 11:30:36,2022-07-18 11:56:36
Rain,Moderate,2022-07-18 11:56:36,2022-07-18 12:20:36
Precipitation,UNK,2022-07-18 12:20:36,2022-07-18 13:20:36
Rain,Light,2022-07-21 11:20:36,2022-07-21 12:20:36
Rain,Moderate,2022-07-21 12:20:36,2022-07-21 12:46:36
Rain,Light,2022-07-21 12:46:36,2022-07-21 13:00:36
Rain,Light,2022-07-21 13:20:36,2022-07-21 15:20:36
Rain,Light,2022-07-29 08:52:36,2022-07-29 11:20:36
Rain,Light,2022-07-29 12:28:36,2022-07-29 12:35:36
Rain,Moderate,2022-07-29 12:35:36,2022-07-29 12:41:36
Rain,Heavy,2022-07-29 12:41:36,2022-07-29 12:46:36
Precipitation,UNK,2022-07-29 12:46:36,2022-07-29 13:08:36
Rain,Heavy,2022-07-29 13:08:36,2022-07-29 13:20:36
Precipitation,UNK,2022-07-29 13:20:36,2022-07-29 14:10:36
